"config_id","hamming","state","adj_sets","HEE_EC","EC_ED","EC_P","EC_MH","PH_MH","SA_MH","SI_MH","EC_PH"
126,5,"cyclic","","latent","latent","reversed","reversed","reversed","original","original","original"
127,3,"cyclic","","original","original","latent","reversed","reversed","original","original","original"
128,4,"cyclic","","reversed","original","latent","reversed","reversed","original","original","original"
129,4,"cyclic","","latent","original","latent","reversed","reversed","original","original","original"
130,4,"cyclic","","original","reversed","latent","reversed","reversed","original","original","original"
131,5,"cyclic","","reversed","reversed","latent","reversed","reversed","original","original","original"
132,5,"cyclic","","latent","reversed","latent","reversed","reversed","original","original","original"
133,4,"cyclic","","original","latent","latent","reversed","reversed","original","original","original"
134,5,"cyclic","","reversed","latent","latent","reversed","reversed","original","original","original"
135,5,"cyclic","","latent","latent","latent","reversed","reversed","original","original","original"
136,2,"ok","{C,EC,H,T,U}","original","original","original","latent","reversed","original","original","original"
137,3,"cyclic","","reversed","original","original","latent","reversed","original","original","original"
138,3,"non-identifiable","","latent","original","original","latent","reversed","original","original","original"
139,3,"ok","{C,EC,H,T,U}","original","reversed","original","latent","reversed","original","original","original"
140,4,"cyclic","","reversed","reversed","original","latent","reversed","original","original","original"
141,4,"non-identifiable","","latent","reversed","original","latent","reversed","original","original","original"
142,3,"ok","{C,EC,H,T,U}","original","latent","original","latent","reversed","original","original","original"
143,4,"cyclic","","reversed","latent","original","latent","reversed","original","original","original"
144,4,"non-identifiable","","latent","latent","original","latent","reversed","original","original","original"
145,3,"ok","{C,EC,H,P,T,U}","original","original","reversed","latent","reversed","original","original","original"
146,4,"cyclic","","reversed","original","reversed","latent","reversed","original","original","original"
147,4,"non-identifiable","","latent","original","reversed","latent","reversed","original","original","original"
148,4,"ok","{C,EC,H,P,T,U}","original","reversed","reversed","latent","reversed","original","original","original"
149,5,"cyclic","","reversed","reversed","reversed","latent","reversed","original","original","original"
150,5,"non-identifiable","","latent","reversed","reversed","latent","reversed","original","original","original"
151,4,"ok","{C,EC,H,P,T,U}","original","latent","reversed","latent","reversed","original","original","original"
152,5,"cyclic","","reversed","latent","reversed","latent","reversed","original","original","original"
153,5,"non-identifiable","","latent","latent","reversed","latent","reversed","original","original","original"
154,3,"ok","{C,EC,H,P,T,U}","original","original","latent","latent","reversed","original","original","original"
155,4,"cyclic","","reversed","original","latent","latent","reversed","original","original","original"
156,4,"non-identifiable","","latent","original","latent","latent","reversed","original","original","original"
157,4,"ok","{C,EC,H,P,T,U}","original","reversed","latent","latent","reversed","original","original","original"
158,5,"cyclic","","reversed","reversed","latent","latent","reversed","original","original","original"
159,5,"non-identifiable","","latent","reversed","latent","latent","reversed","original","original","original"
160,4,"ok","{C,EC,H,P,T,U}","original","latent","latent","latent","reversed","original","original","original"
161,5,"cyclic","","reversed","latent","latent","latent","reversed","original","original","original"
162,5,"non-identifiable","","latent","latent","latent","latent","reversed","original","original","original"
163,1,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,EC,H,T,U}","original","original","original","original","latent","original","original","original"
164,2,"cyclic","","reversed","original","original","original","latent","original","original","original"
165,2,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,ED,H,T,U,U_AH}","latent","original","original","original","latent","original","original","original"
166,2,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,EC,H,T,U}","original","reversed","original","original","latent","original","original","original"
167,3,"cyclic","","reversed","reversed","original","original","latent","original","original","original"
168,3,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,H,T,U,U_AH}","latent","reversed","original","original","latent","original","original","original"
169,2,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,EC,H,T,U}","original","latent","original","original","latent","original","original","original"
170,3,"cyclic","","reversed","latent","original","original","latent","original","original","original"
171,3,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,ED,H,T,U,U_AH}","latent","latent","original","original","latent","original","original","original"
172,2,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,ED,H,T,U,U_AH} | {C,EC,H,P,T,U}","original","original","reversed","original","latent","original","original","original"
173,3,"cyclic","","reversed","original","reversed","original","latent","original","original","original"
174,3,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,ED,H,T,U,U_AH}","latent","original","reversed","original","latent","original","original","original"
175,3,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,H,T,U,U_AH} | {C,EC,H,P,T,U}","original","reversed","reversed","original","latent","original","original","original"
176,4,"cyclic","","reversed","reversed","reversed","original","latent","original","original","original"
177,4,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,H,T,U,U_AH}","latent","reversed","reversed","original","latent","original","original","original"
178,3,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,ED,H,T,U,U_AH} | {C,EC,H,P,T,U}","original","latent","reversed","original","latent","original","original","original"
179,4,"cyclic","","reversed","latent","reversed","original","latent","original","original","original"
180,4,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,ED,H,T,U,U_AH}","latent","latent","reversed","original","latent","original","original","original"
181,2,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,ED,H,T,U,U_AH} | {C,EC,H,P,T,U}","original","original","latent","original","latent","original","original","original"
182,3,"cyclic","","reversed","original","latent","original","latent","original","original","original"
183,3,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,ED,H,T,U,U_AH}","latent","original","latent","original","latent","original","original","original"
184,3,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,H,T,U,U_AH} | {C,EC,H,P,T,U}","original","reversed","latent","original","latent","original","original","original"
185,4,"cyclic","","reversed","reversed","latent","original","latent","original","original","original"
186,4,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,H,T,U,U_AH}","latent","reversed","latent","original","latent","original","original","original"
187,3,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,ED,H,T,U,U_AH} | {C,EC,H,P,T,U}","original","latent","latent","original","latent","original","original","original"
188,4,"cyclic","","reversed","latent","latent","original","latent","original","original","original"
189,4,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,ED,H,T,U,U_AH}","latent","latent","latent","original","latent","original","original","original"
190,2,"cyclic","","original","original","original","reversed","latent","original","original","original"
191,3,"cyclic","","reversed","original","original","reversed","latent","original","original","original"
192,3,"cyclic","","latent","original","original","reversed","latent","original","original","original"
193,3,"cyclic","","original","reversed","original","reversed","latent","original","original","original"
194,4,"cyclic","","reversed","reversed","original","reversed","latent","original","original","original"
195,4,"cyclic","","latent","reversed","original","reversed","latent","original","original","original"
196,3,"cyclic","","original","latent","original","reversed","latent","original","original","original"
197,4,"cyclic","","reversed","latent","original","reversed","latent","original","original","original"
198,4,"cyclic","","latent","latent","original","reversed","latent","original","original","original"
199,3,"cyclic","","original","original","reversed","reversed","latent","original","original","original"
200,4,"cyclic","","reversed","original","reversed","reversed","latent","original","original","original"
201,4,"cyclic","","latent","original","reversed","reversed","latent","original","original","original"
202,4,"cyclic","","original","reversed","reversed","reversed","latent","original","original","original"
203,5,"cyclic","","reversed","reversed","reversed","reversed","latent","original","original","original"
204,5,"cyclic","","latent","reversed","reversed","reversed","latent","original","original","original"
205,4,"cyclic","","original","latent","reversed","reversed","latent","original","original","original"
206,5,"cyclic","","reversed","latent","reversed","reversed","latent","original","original","original"
207,5,"cyclic","","latent","latent","reversed","reversed","latent","original","original","original"
208,3,"cyclic","","original","original","latent","reversed","latent","original","original","original"
209,4,"cyclic","","reversed","original","latent","reversed","latent","original","original","original"
210,4,"cyclic","","latent","original","latent","reversed","latent","original","original","original"
211,4,"cyclic","","original","reversed","latent","reversed","latent","original","original","original"
212,5,"cyclic","","reversed","reversed","latent","reversed","latent","original","original","original"
213,5,"cyclic","","latent","reversed","latent","reversed","latent","original","original","original"
214,4,"cyclic","","original","latent","latent","reversed","latent","original","original","original"
215,5,"cyclic","","reversed","latent","latent","reversed","latent","original","original","original"
216,5,"cyclic","","latent","latent","latent","reversed","latent","original","original","original"
217,2,"ok","{C,EC,H,T,U}","original","original","original","latent","latent","original","original","original"
218,3,"cyclic","","reversed","original","original","latent","latent","original","original","original"
